Number,Song Name,Artist Name
82,"

	
	
		
					Big Purr (Prrdd)		
	
","
	
	Coi Leray & Pooh Shiesty
"
83,"

	
	
		
					Real As It Gets		
	
","
	
	Lil Baby Featuring EST Gee
"
84,"

	
	
		
					Body		
	
","
	
	Megan Thee Stallion
"
85,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
86,"

	
	
		
					Monsters		
	
","
	
	All Time Low Featuring Demi Lovato & blackbear 
"
87,"

	
	
		
					You Got It		
	
","
	
	VEDO
"
88,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
89,"

	
	
		
					Famous Friends		
	
","
	
	Chris Young + Kane Brown
"
90,"

	
	
		
					Mr. Perfectly Fine (Taylor's Version) (From The Vault)		
	
","
	
	Taylor Swift
"
91,"

	
	
		
					Nobody		
	
","
	
	Dylan Scott
"
92,"

	
	
		
					As I Am		
	
","
	
	Justin Bieber Featuring Khalid
"
93,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
94,"

	
	
		
					Drankin N Smokin		
	
","
	
	Future & Lil Uzi Vert
"
95,"

	
	
		
					Hello		
	
","
	
	Pop Smoke Featuring A Boogie Wit da Hoodie
"
96,"

	
	
		
					Follow You		
	
","
	
	Imagine Dragons
"
97,"

	
	
		
					Gone		
	
","
	
	Dierks Bentley
"
98,"

	
	
		
					Girl Like Me		
	
","
	
	Black Eyed Peas X Shakira
"
99,"

	
	
		
					Buss It		
	
","
	
	Erica Banks
"
100,"

	
	
		
					Arcade		
	
","
	
	Duncan Laurence
"
