Number,Song Name,Artist Name
1,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
2,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
3,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
4,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
5,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
6,"

	
	
		
					Rapstar		
	
","
	
	Polo G
"
7,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
8,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
9,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
10,"

	
	
		
					Your Power		
	
","
	
	Billie Eilish
"
11,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
12,"

	
	
		
					Up		
	
","
	
	Cardi B
"
13,"

	
	
		
					Calling My Phone		
	
","
	
	Lil Tjay Featuring 6LACK
"
14,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
15,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
16,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
17,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
18,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
19,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
20,"

	
	
		
					Every Chance I Get		
	
","
	
	DJ Khaled Featuring Lil Baby & Lil Durk
"
21,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
22,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
23,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
24,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
25,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
26,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
27,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
28,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
29,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
30,"

	
	
		
					Sorry Not Sorry		
	
","
	
	DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy
"
31,"

	
	
		
					Track Star		
	
","
	
	Mooski
"
32,"

	
	
		
					Made For You		
	
","
	
	Jake Owen
"
33,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
34,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
35,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
36,"

	
	
		
					Hell Of A View		
	
","
	
	Eric Church
"
37,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
38,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
39,"

	
	
		
					We're Good		
	
","
	
	Dua Lipa
"
40,"

	
	
		
					Breaking Up Was Easy In The 90's		
	
","
	
	Sam Hunt
"
41,"

	
	
		
					Time Today		
	
","
	
	Moneybagg Yo
"
42,"

	
	
		
					Wants And Needs		
	
","
	
	Drake Featuring Lil Baby
"
43,"

	
	
		
					I Did It		
	
","
	
	DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby
"
44,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
45,"

	
	
		
					What's Next		
	
","
	
	Drake
"
46,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
47,"

	
	
		
					What's Your Country Song		
	
","
	
	Thomas Rhett
"
48,"

	
	
		
					Ski		
	
","
	
	Young Thug & Gunna
"
49,"

	
	
		
					Good Days		
	
","
	
	SZA
"
50,"

	
	
		
					Goosebumps		
	
","
	
	Travis Scott & HVME
"
51,"

	
	
		
					No More Parties		
	
","
	
	Coi Leray Featuring Lil Durk
"
52,"

	
	
		
					Solid		
	
","
	
	Young Thug & Gunna Featuring Drake
"
53,"

	
	
		
					Streets		
	
","
	
	Doja Cat
"
54,"

	
	
		
					Let It Go		
	
","
	
	DJ Khaled Featuring Justin Bieber & 21 Savage
"
55,"

	
	
		
					pov		
	
","
	
	Ariana Grande
"
56,"

	
	
		
					Settling Down		
	
","
	
	Miranda Lambert
"
57,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
58,"

	
	
		
					Tombstone		
	
","
	
	Rod Wave
"
59,"

	
	
		
					Just The Way		
	
","
	
	Parmalee x Blanco Brown
"
60,"

	
	
		
					Hold On		
	
","
	
	Justin Bieber
"
61,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
62,"

	
	
		
					Shottas (Lala)		
	
","
	
	Moneybagg Yo
"
