rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,date,country,source
1,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,1,7,13698566,2021-08-26,US,Columbia
2,spotify:track:27NovPIUIRrOZoCHxABJwK,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,2,5,11031868,2021-08-26,US,Columbia
3,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,1,3,15,8219210,2021-08-26,US,Olivia Rodrigo PS
4,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,4,4,11,8200497,2021-08-26,US,Kemosabe Records/RCA Records
5,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,3,5,4,7137596,2021-08-26,US,Darkroom/Interscope Records
6,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),1,7,20,6681635,2021-08-26,US,Kemosabe Records/RCA Records
7,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,7,8,9,5527199,2021-08-26,US,Atlantic Records UK
8,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,8,9,10,5421722,2021-08-26,US,Winners Circle/RCA Records
9,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,9,11,39,5257889,2021-08-26,US,Polydor Records
10,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),1,10,22,5235498,2021-08-26,US,Columbia
11,spotify:track:4zbr7Cp3UB00FurUovPU03,"Trippie Redd, Juice WRLD",Matt Hardy 999,11,-1,1,4886094,2021-08-26,US,Homemade Projects / 10K Projects
12,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',5,14,10,4789716,2021-08-26,US,RCA Records Label
13,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,13,47,4705111,2021-08-26,US,Warner Records
14,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3,16,14,4642185,2021-08-26,US,Olivia Rodrigo PS
15,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,15,19,9,4513227,2021-08-26,US,Kemosabe Records/RCA Records
16,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2,18,21,4343425,2021-08-26,US,Olivia Rodrigo PS
17,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,4,15,9,4321527,2021-08-26,US,Kemosabe Records/RCA Records
18,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),18,25,9,4246236,2021-08-26,US,Kemosabe Records/RCA Records
19,spotify:track:6KgtcmCF9Ky68XC7ezxl3s,"Lizzo, Cardi B",Rumors (feat. Cardi B),6,6,2,4236633,2021-08-26,US,Nice Life/Atlantic
20,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,20,20,5,4073414,2021-08-26,US,Sony Music Latin
21,spotify:track:5KQxun2WxwDMsV7HCN2ONK,"Trippie Redd, Polo G, Lil Durk",Rich MF (feat. Lil Durk),21,-1,1,4071951,2021-08-26,US,Homemade Projects / 10K Projects
22,spotify:track:6iBlllot0wdy8f7V5t8OnR,"Trippie Redd, Playboi Carti",Miss The Rage,4,44,16,4050536,2021-08-26,US,Homemade Projects / 10K Projects
23,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,1,17,20,4026225,2021-08-26,US,Columbia
24,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath - Single Version,5,12,3,3907943,2021-08-26,US,XO / Republic Records
25,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,26,25,3524501,2021-08-26,US,OVO
26,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,Walker Hayes,Fancy Like,22,22,9,3519270,2021-08-26,US,Monument Records
27,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),1,21,23,3470170,2021-08-26,US,RBMG/Def Jam
28,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,11,23,11,3417073,2021-08-26,US,300 Entertainment
29,spotify:track:55sgQENF3LY1sUcJUwasLl,"Skrillex, Justin Bieber, Don Toliver",Don’t Go (with Justin Bieber & Don Toliver),29,-1,1,3333532,2021-08-26,US,OWSLA/Atlantic
30,spotify:track:40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,3,24,7,3311775,2021-08-26,US,Republic Records
31,spotify:track:26LC5kDFE0vWJzVyaENajX,"Trippie Redd, Lil Uzi Vert",Holy Smokes (feat. Lil Uzi Vert),25,125,6,3300187,2021-08-26,US,Homemade Projects / 10K Projects
32,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,31,31,18,3157726,2021-08-26,US,Surf Curse
33,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,28,33,3121423,2021-08-26,US,Olivia Rodrigo PS
34,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,34,38,3,3121119,2021-08-26,US,Three Quarter
35,spotify:track:0z8hI3OPS8ADPWtoCjjLl6,"Shawn Mendes, Tainy",Summer of Love (Shawn Mendes & Tainy),35,-1,1,3115914,2021-08-26,US,Shawn Mendes LP4-5 PS/ Island
36,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,30,18,3090627,2021-08-26,US,Republic Records
37,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,29,25,3009101,2021-08-26,US,Aftermath Entertainment/Atlantic
38,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,17,27,4,2999655,2021-08-26,US,Rimas Entertainment LLC
39,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,39,56,11,2897843,2021-08-26,US,Arista Records
40,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,18,33,13,2884149,2021-08-26,US,Sony Music Latin/Duars Entertainment
41,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,5,32,14,2880816,2021-08-26,US,Olivia Rodrigo PS
42,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,5,34,12,2852619,2021-08-26,US,Rimas Entertainment LLC
43,spotify:track:0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,"jealousy, jealousy",10,35,14,2796005,2021-08-26,US,Olivia Rodrigo PS
44,spotify:track:5svL1PkWw8hPEAOdTNLexy,Sueco,Paralyzed,41,41,2,2771648,2021-08-26,US,Atlantic Records
45,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,4,36,9,2765814,2021-08-26,US,Kemosabe Records/RCA Records
46,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,43,91,2762443,2021-08-26,US,Republic Records
47,spotify:track:6FE9EXi8TYg09hR4xv5PWJ,Lorde,Mood Ring,47,-1,1,2736798,2021-08-26,US,Universal Music New Zealand Limited
48,spotify:track:7CIERzyqIwLVKGp00YbHRO,PinkPantheress,Pain,48,51,8,2725344,2021-08-26,US,Parlophone UK
49,spotify:track:6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,brutal,4,47,14,2693881,2021-08-26,US,Olivia Rodrigo PS
50,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,19,52,53,2684922,2021-08-26,US,Columbia
51,spotify:track:4mOkfIYbMX9PXx27hj8NTi,"Trippie Redd, Drake",Betrayal (feat. Drake),51,-1,1,2626073,2021-08-26,US,"1400 Entertainment, Inc. / 10K Projects"
52,spotify:track:2wbcBAG51wD8fQw8ykL2Ab,"Trippie Redd, SoFaygo",MP5,52,-1,1,2625798,2021-08-26,US,Homemade Projects / 10K Projects
53,spotify:track:4LYNt6hWctTuZWYiwafuD6,"Trippie Redd, XXXTENTACION",Danny Phantom (feat. XXXTENTACION),53,-1,1,2607580,2021-08-26,US,Homemade Projects / 10K Projects
54,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,9,50,29,2598186,2021-08-26,US,Epic/Not So Fast
55,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,5,46,14,2592073,2021-08-26,US,Olivia Rodrigo PS
56,spotify:track:3yaYgjEFkRw3PVjW9mV1TO,"Smiley, Drake",Over The Top (feat. Drake),17,40,5,2566370,2021-08-26,US,OVO Sound
57,spotify:track:1MIGkQxcdAt2lDx6ySpsc5,"Jack Harlow, Pooh Shiesty",SUVs (Black on Black),22,48,3,2551084,2021-08-26,US,Generation Now/Atlantic
58,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Cochise, $NOT",Tell Em,26,53,13,2550285,2021-08-26,US,Columbia
59,spotify:track:0BGwAKW4u8kWOhWFflZxfl,Masked Wolf,Astronaut In The Ocean,4,49,29,2548943,2021-08-26,US,Elektra (NEK)
60,spotify:track:1JXBNvlDEl2epKSJ9EOgKX,"The Kid LAROI, Polo G, Stunna Gambino",NOT SOBER (feat. Polo G & Stunna Gambino),16,37,5,2536690,2021-08-26,US,Columbia
61,spotify:track:1EJIcDYXwSqipW5dFe4uJz,"DJ Khaled, Lil Baby, Lil Durk",EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),24,45,17,2532888,2021-08-26,US,Epic/We The Best
62,spotify:track:44V6EzbUSYgyfsNiP0FrlA,Ed Sheeran,Visiting Hours,62,-1,1,2512789,2021-08-26,US,Atlantic Records UK
63,spotify:track:0gcbrwbpdxGHE9nW0TCoKP,"Trippie Redd, Ski Mask The Slump God",Demon Time,63,-1,1,2503491,2021-08-26,US,Homemade Projects / 10K Projects
64,spotify:track:26BMsCXJpD7eYtP7ufhApC,"Blueface, OG Bobby Billions",Outside (Better Days),64,144,7,2491702,2021-08-26,US,5th Amendment / Entertainment One / Billionaire Music Group / EMPIRE
65,spotify:track:5KvKGFFNm1Y7jHTjaJF74h,Trippie Redd,Super Cell,65,-1,1,2485063,2021-08-26,US,Homemade Projects / 10K Projects
66,spotify:track:1is8gU4RVcN4J8xItxWoOY,Clinton Kane,I GUESS I'M IN LOVE,66,-1,1,2452218,2021-08-26,US,Columbia
67,spotify:track:3CboywxfJIgvHqi2FF4exb,A-Wall,Loverboy,61,61,2,2389902,2021-08-26,US,Revolution Records
68,spotify:track:3JXebpWufTcs8iegiRCBW7,Young Thug,Tick Tock,68,-1,1,2353323,2021-08-26,US,300 Entertainment/Atl
69,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),11,55,55,2347877,2021-08-26,US,Bad Boy/Interscope Records
70,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,45,65,185,2342567,2021-08-26,US,Roc Nation Records LLC
71,spotify:track:21AJQhGZpujjZQXByZAXpr,"Lil Tecca, Gunna",REPEAT IT (with Gunna),28,39,3,2329631,2021-08-26,US,Galactic Records/Republic Records
72,spotify:track:4J4SkI6qmb5ngZVw9mf9op,Trippie Redd,Molly Hearts,72,-1,1,2314320,2021-08-26,US,Homemade Projects / 10K Projects
73,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),45,62,14,2308427,2021-08-26,US,Republic Records
74,spotify:track:0NmuYnjETG3u3qx0OmEJev,"Nelly, Florida Georgia Line",Lil Bit,44,66,18,2291204,2021-08-26,US,Records/Columbia
75,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,"WILLOW, Travis Barker",t r a n s p a r e n t s o u l feat. Travis Barker,20,63,15,2277676,2021-08-26,US,"MSFTSMusic / Roc Nation Records, LLC"
76,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,45,58,10,2247682,2021-08-26,US,RCA Records Label
77,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,68,104,2236844,2021-08-26,US,Republic Records
78,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,71,149,2227941,2021-08-26,US,Republic Records
79,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),1,57,59,2225671,2021-08-26,US,Grade A Productions/Interscope Records
80,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,4,67,28,2220449,2021-08-26,US,EMI / Interscope
81,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,70,35,2218537,2021-08-26,US,Top Dawg Entertainment/RCA Records
82,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),2,69,55,2201810,2021-08-26,US,Records/Columbia
83,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,23,73,56,2170322,2021-08-26,US,Columbia
84,spotify:track:0cu0rhnlCnJ7JIeHRiLpj3,DaBaby,Ball If I Want To,28,59,10,2161578,2021-08-26,US,South Coast Music Group/Interscope Records
85,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,13,60,14,2159531,2021-08-26,US,BIGHIT MUSIC
86,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhayco",DÁKITI,1,74,43,2152936,2021-08-26,US,Rimas Entertainment LLC
87,spotify:track:4mnjwMLCk3JZkhkok3u5g1,"Dream, Alec Benjamin",Change My Clothes,87,-1,1,2150342,2021-08-26,US,Dream Music / Alec Benjamin appears courtesy of Elektra Records
88,spotify:track:5VmpLtRycwbA54XsTffKq4,Lorde,Solar Power,15,-1,5,2149286,2021-08-26,US,Universal Music New Zealand Limited
89,spotify:track:5xyLeb2q1lxDf7hXKYlC1H,"YNW Melly, Lil Uzi Vert",Mind of Melvin (feat. Lil Uzi Vert),54,54,2,2146790,2021-08-26,US,P2021
90,spotify:track:6OTKVgVpVaVjhRLYizPJKA,PinkPantheress,Just for Me,64,64,2,2127403,2021-08-26,US,Parlophone UK
91,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,75,93,2113906,2021-08-26,US,Columbia
92,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,YKWIM?,90,90,8,2027127,2021-08-26,US,yot club under exclusive license to Amuseio AB
93,spotify:track:5zFglKYiknIxks8geR8rcL,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),29,72,24,2019040,2021-08-26,US,Interscope Records*
94,spotify:track:5B0kgjHULYJhAQkK5XsMoC,"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),3,77,9,2007074,2021-08-26,US,Columbia
95,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,3,78,33,1997244,2021-08-26,US,Kemosabe Records/RCA Records
96,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,82,82,56,1986756,2021-08-26,US,Island Records
97,spotify:track:51pshtuYkgUQnt5huMPbKL,"Mac Miller, Empire of the Sun",The Spins,91,91,26,1966640,2021-08-26,US,Rostrum Records
98,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,13,86,174,1965919,2021-08-26,US,Juice WRLD Mixtape / ISR P&D
99,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,"J. Cole, 21 Savage, Morray",m y . l i f e (with 21 Savage & Morray),2,84,15,1954859,2021-08-26,US,"Dreamville, Inc., Under exclusive license to Roc Nation Records"
100,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,8,81,41,1950467,2021-08-26,US,Columbia
1,spotify:track:3aQem4jVGdhtg116TmJnHz,Drake,What’s Next,1,-1,1,14124328,2021-03-11,US,OVO
2,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,-1,1,12804148,2021-03-11,US,OVO
3,spotify:track:4FRW5Nza1Ym91BGV4nFWXI,"Drake, Rick Ross",Lemon Pepper Freestyle (feat. Rick Ross),3,-1,1,9007393,2021-03-11,US,OVO
4,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,-1,1,8750406,2021-03-11,US,Aftermath Entertainment/Atlantic
5,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,1,1,9,7685399,2021-03-11,US,Olivia Rodrigo PS
6,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,"Lil Tjay, 6LACK",Calling My Phone,1,2,4,7154375,2021-03-11,US,Columbia
7,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,4,4,4,7085168,2021-03-11,US,EMI / Interscope
8,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,3,3,5,6830615,2021-03-11,US,Atlantic Records
9,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,5,11,6227970,2021-03-11,US,Top Dawg Entertainment/RCA Records
10,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,3,7,9,6048752,2021-03-11,US,Kemosabe Records/RCA Records
11,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,2,6,15,5630283,2021-03-11,US,Republic Records
12,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,Justin Bieber,Hold On,12,-1,1,5591186,2021-03-11,US,RBMG/Def Jam
13,spotify:track:3VT8hOC5vuDXBsHrR53WFh,Masked Wolf,Astronaut In The Ocean,11,11,5,4669791,2021-03-11,US,Elektra (NEK)
14,spotify:track:7FGdjbZ32vMybPuP0IuE7d,"Pooh Shiesty, Lil Durk",Back in Blood (feat. Lil Durk),9,9,9,4517536,2021-03-11,US,Atlantic Records
15,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,8,67,4488532,2021-03-11,US,Republic Records
16,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,16,19,5,4204717,2021-03-11,US,Epic/Not So Fast
17,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,15,15,15,4198482,2021-03-11,US,Polydor Records
18,spotify:track:2etHQJxIbV0soyPhelVs9Y,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),12,13,9,4173207,2021-03-11,US,ICY/Warner Records
19,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),2,10,31,4157730,2021-03-11,US,Records/Columbia
20,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),9,12,23,4143436,2021-03-11,US,Warner Records
21,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,8,16,17,4006457,2021-03-11,US,Columbia
22,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhayco",DÁKITI,1,17,19,3911257,2021-03-11,US,Rimas Entertainment LLC
23,spotify:track:1t9WgS8FN0534tLBRwbaxO,CJ,Whoopty,4,14,20,3873119,2021-03-11,US,Warner Records
24,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,2,18,19,3388181,2021-03-11,US,Republic Records
25,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,19,22,29,3318087,2021-03-11,US,Columbia
26,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,21,28,3307400,2021-03-11,US,Victor Victor Worldwide
27,spotify:track:2SAqBLGA283SUiwJ3xOUVI,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),2,32,30,3298974,2021-03-11,US,OVO
28,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),1,20,30,3295772,2021-03-11,US,Internet Money Records / TenThousand Projects
29,spotify:track:7eX3um6NpOQKWJMGCi97XD,"Lil Baby, EST Gee",Real As It Gets (feat. EST Gee),29,-1,1,3289875,2021-03-11,US,Quality Control Music/Motown Records
30,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,1,23,20,3170443,2021-03-11,US,Republic Records
31,spotify:track:4Iedi94TIaB2GGb1nMB68v,Lil Baby,On Me,28,28,14,3168760,2021-03-11,US,Quality Control Music/Motown Records
32,spotify:track:0PvFJmanyNQMseIFrU708S,"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),2,24,36,3153195,2021-03-11,US,Victor Victor Worldwide
33,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),1,25,31,3131434,2021-03-11,US,Atlantic/KSR
34,spotify:track:6toQdWWc4noiOk3Eo5mVDS,"SpotemGottem, DaBaby",Beat Box 3 (feat. DaBaby),34,86,2,3030019,2021-03-11,US,Rebel Music PS
35,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),1,26,47,2984753,2021-03-11,US,South Coast Music Group/Interscope Records
36,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,1,31,17,2947773,2021-03-11,US,Darkroom/Interscope Records
37,spotify:track:4O3RwH1TFG1EjPezLIYehI,"Juice WRLD, Clever, Post Malone",Life's A Mess II (with Clever & Post Malone),37,-1,1,2935083,2021-03-11,US,Grade A/Posty/Interscope/Republic
38,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),11,29,31,2931767,2021-03-11,US,Bad Boy/Interscope Records
39,spotify:track:2U5WueTLIK5WJLD7mvDODv,Juice WRLD,Wishing Well,1,30,35,2928309,2021-03-11,US,Grade A Productions/Interscope Records
40,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,13,34,150,2874516,2021-03-11,US,Juice WRLD Mixtape / ISR P&D
41,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,16,38,34,2835741,2021-03-11,US,RCA Records Label
42,spotify:track:3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Wasted On You,3,35,9,2757760,2021-03-11,US,Big Loud / Republic
43,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,23,39,32,2746044,2021-03-11,US,Columbia
44,spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,"Pop Smoke, A Boogie Wit da Hoodie",Hello (feat. A Boogie Wit da Hoodie),31,37,27,2746000,2021-03-11,US,Victor Victor Worldwide
45,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),1,40,35,2713849,2021-03-11,US,Grade A Productions/Interscope Records
46,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,2,41,10,2681929,2021-03-11,US,RBMG/Def Jam
47,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Travis Scott, HVME",Goosebumps - Remix,36,36,8,2662122,2021-03-11,US,Cactus Jack/Epic
48,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,1,42,149,2653184,2021-03-11,US,Juice WRLD Mixtape / ISR P&D
49,spotify:track:59fFsGRwFiuhxKDPc1k6xW,"YBN Nahmir, 21 Savage",Opp Stoppa (feat. 21 Savage),46,46,7,2635095,2021-03-11,US,Art@War/Atlantic Records
50,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,43,80,2613350,2021-03-11,US,Republic Records
51,spotify:track:3FxPbp05KjMBa4HbhAJTH0,ElyOtto,SugarCrash!,51,51,3,2612224,2021-03-11,US,Otto Dynamite/RCA Records
52,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,We're Good,20,44,4,2604346,2021-03-11,US,Warner Records
53,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,45,125,2601772,2021-03-11,US,Republic Records
54,spotify:track:0ZLuW8uOXdFNWcI40C0OC2,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",2,47,38,2569976,2021-03-11,US,Generation Now/Atlantic
55,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,48,48,27,2509612,2021-03-11,US,BMG Rights Management (US) LLC
56,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,2,50,57,2509174,2021-03-11,US,Mogul Vision/Interscope Records
57,spotify:track:1xqRKo0SDFDO5Jy8yEVD0X,DUSTY LOCANE,ROLLIN N CONTROLLIN FREESTYLE,54,54,4,2496401,2021-03-11,US,95MM / EMPIRE
58,spotify:track:3XoflnowYPFRPOh3uFvHcm,"DJ Snake, Selena Gomez",Selfish Love (with Selena Gomez),58,-1,1,2452735,2021-03-11,US,DJ Snake Music Productions Limited
59,spotify:track:0A1hoCfMLkiAgvhWkkucJa,Megan Thee Stallion,Body,13,56,16,2444227,2021-03-11,US,300 Entertainment
60,spotify:track:4aarlAfLKVCTxUDNgbwhjH,"Megan Thee Stallion, DaBaby",Cry Baby (feat. DaBaby),36,57,14,2436132,2021-03-11,US,300 Entertainment
61,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,3,53,108,2413365,2021-03-11,US,Grade A Productions/Interscope Records
62,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,6,58,98,2400441,2021-03-11,US,Vertigo Berlin
63,spotify:track:0uRrG2jRR5tuifsYIJHEao,Morgan Wallen,Sand In My Boots,13,49,9,2392075,2021-03-11,US,Big Loud / Republic
64,spotify:track:6gdLyYNuhWBzqwlOFSsXC7,Luke Combs,Better Together,38,68,23,2341443,2021-03-11,US,River House Artists/Columbia Nashville
65,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,64,64,161,2329644,2021-03-11,US,Roc Nation Records LLC
66,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,9,60,36,2314122,2021-03-11,US,Republic Records
67,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,1,59,66,2311546,2021-03-11,US,Atlantic Records
68,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,18,55,15,2301757,2021-03-11,US,Rimas Entertainment LLC
69,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,Jack Harlow,Tyler Herro,9,52,20,2259432,2021-03-11,US,Generation Now/Atlantic
