date,rank,song,artist,last-week,peak-rank,weeks-on-board
11/6/21,94,In The Bible,Drake Featuring Lil Durk & Giveon,94,7,8
11/6/21,95,Just About Over You,Priscilla Block,100,95,3
11/6/21,96,To Be Loved By You,Parker McCollum,,96,1
11/6/21,97,Ain't Shit,Doja Cat,,24,14
11/6/21,98,Life Goes On,Oliver Tree,,91,2
11/6/21,99,Come Through,H.E.R. Featuring Chris Brown,,64,16
11/6/21,100,Nevada,YoungBoy Never Broke Again,,58,4
10/30/21,1,Easy On Me,Adele,68,1,2
10/30/21,2,Stay,The Kid LAROI & Justin Bieber,2,1,15
10/30/21,3,Industry Baby,Lil Nas X & Jack Harlow,1,1,13
10/30/21,4,Fancy Like,Walker Hayes,3,3,18
10/30/21,5,Bad Habits,Ed Sheeran,4,2,17
10/30/21,6,Way 2 Sexy,Drake Featuring Future & Young Thug,5,1,7
10/30/21,7,Good 4 U,Olivia Rodrigo,6,1,23
10/30/21,8,Levitating,Dua Lipa,8,2,55
10/30/21,9,Shivers,Ed Sheeran,10,9,6
10/30/21,10,Kiss Me More,Doja Cat Featuring SZA,7,3,28
10/30/21,11,Need To Know,Doja Cat,11,11,19
10/30/21,12,Essence,Wizkid Featuring Justin Bieber & Tems,9,9,16
10/30/21,13,My Universe,Coldplay x BTS,18,1,4
10/30/21,14,Heat Waves,Glass Animals,12,12,40
10/30/21,15,Beggin',Maneskin,15,15,17
10/30/21,16,You Right,Doja Cat & The Weeknd,16,11,17
10/30/21,17,Save Your Tears,The Weeknd & Ariana Grande,13,1,45
10/30/21,18,Knife Talk,Drake Featuring 21 Savage & Project Pat,14,4,7
10/30/21,19,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17,17,2
10/30/21,20,Bubbly,Young Thug With Drake & Travis Scott,,20,1
10/30/21,21,Cold Heart (PNAU Remix),Elton John & Dua Lipa,25,21,7
10/30/21,22,Traitor,Olivia Rodrigo,21,9,22
10/30/21,23,If I Didn't Love You,Jason Aldean & Carrie Underwood,19,15,13
10/30/21,24,Montero (Call Me By Your Name),Lil Nas X,20,1,30
10/30/21,25,Chasing After You,Ryan Hurd With Maren Morris,23,23,25
10/30/21,26,Girls Want Girls,Drake Featuring Lil Baby,22,2,7
10/30/21,27,Take My Breath,The Weeknd,24,6,11
10/30/21,28,Thats What I Want,Lil Nas X,26,10,5
10/30/21,29,Pepas,Farruko,27,25,13
10/30/21,30,Happier Than Ever,Billie Eilish,30,11,12
10/30/21,31,Love Nwantiti (Ah Ah Ah),CKay,31,31,5
10/30/21,32,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,44,32,6
10/30/21,33,Wockesha,Moneybagg Yo,29,20,26
10/30/21,34,Buy Dirt,Jordan Davis Featuring Luke Bryan,40,34,11
10/30/21,35,Memory I Don't Mess With,Lee Brice,35,33,13
10/30/21,36,A-O-K,Tai Verdes,34,34,16
10/30/21,37,My Boy,Elvie Shane,28,28,17
10/30/21,38,Ghost,Justin Bieber,32,32,4
10/30/21,39,Pissed Me Off,Lil Durk,,39,1
10/30/21,40,You Should Probably Leave,Chris Stapleton,43,40,16
10/30/21,41,Cold As You,Luke Combs,45,41,12
10/30/21,42,I Was On A Boat That Day,Old Dominion,37,37,16
10/30/21,43,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,36,22,8
10/30/21,44,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),38,1,33
10/30/21,45,Lets Go Brandon,Loza Alexander,,45,1
10/30/21,46,Gyalis,Capella Grey,46,38,12
10/30/21,47,Wild Side,Normani Featuring Cardi B,52,14,14
10/30/21,48,Fair Trade,Drake Featuring Travis Scott,39,3,7
10/30/21,49,Leave Before You Love Me,Marshmello X Jonas Brothers,48,19,22
10/30/21,50,Deja Vu,Olivia Rodrigo,42,3,29
10/30/21,51,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,55,51,10
10/30/21,52,Family Ties,Baby Keem & Kendrick Lamar,49,18,8
10/30/21,53,Have Mercy,Chloe,54,28,6
10/30/21,54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,33,26,16
10/30/21,55,Same Boat,Zac Brown Band,64,55,5
10/30/21,56,Ex For A Reason,Summer Walker & JT,,56,1
10/30/21,57,Better Days,NEIKED X Mae Muller X Polo G,,57,1
10/30/21,58,Hurricane,Kanye West,50,6,8
10/30/21,59,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,56,12
10/30/21,60,Late At Night,Roddy Ricch,57,20,20
10/30/21,61,Love Again,Dua Lipa,47,41,14
10/30/21,62,Memory,Kane Brown X blackbear,60,50,15
10/30/21,63,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,65,63,4
10/30/21,64,Knowing You,Kenny Chesney,62,62,10
10/30/21,65,Woman,Doja Cat,63,62,12
10/30/21,66,Esta Danada,Ivan Cornejo,61,61,3
10/30/21,67,WFM,Realestk,75,67,2
10/30/21,68,Livin It Up,Young Thug With Post Malone & A$AP Rocky,,68,1
