Number,Song Name,Artist Name
83,"

	
	
		
					Bad Boy		
	
","
	
	Juice WRLD & Young Thug
"
84,"

	
	
		
					No More Parties		
	
","
	
	Coi Leray Featuring Lil Durk
"
85,"

	
	
		
					Moonwalking In Calabasas		
	
","
	
	DDG
"
86,"

	
	
		
					Big, Big Plans		
	
","
	
	Chris Lane
"
87,"

	
	
		
					Bandido		
	
","
	
	Myke Towers & Juhn
"
88,"

	
	
		
					You Got It		
	
","
	
	VEDO
"
89,"

	
	
		
					Pick Up Your Feelings		
	
","
	
	Jazmine Sullivan
"
90,"

	
	
		
					Dangerous		
	
","
	
	Morgan Wallen
"
91,"

	
	
		
					Monster		
	
","
	
	Shawn Mendes & Justin Bieber
"
92,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
93,"

	
	
		
					Warning		
	
","
	
	Morgan Wallen
"
94,"

	
	
		
					Still Goin Down		
	
","
	
	Morgan Wallen
"
95,"

	
	
		
					Lifestyle		
	
","
	
	Jason Derulo Featuring Adam Levine
"
96,"

	
	
		
					Almost Maybes		
	
","
	
	Jordan Davis
"
97,"

	
	
		
					Masterpiece		
	
","
	
	DaBaby
"
98,"

	
	
		
					Prisoner		
	
","
	
	Miley Cyrus Featuring Dua Lipa
"
99,"

	
	
		
					Skin		
	
","
	
	Sabrina Carpenter
"
100,"

	
	
		
					Quicksand		
	
","
	
	Morray
"
