Number,Song Name,Artist Name
1,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
2,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
3,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
4,"

	
	
		
					Holy		
	
","
	
	Justin Bieber Featuring Chance The Rapper
"
5,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
6,"

	
	
		
					Anyone		
	
","
	
	Justin Bieber
"
7,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
8,"

	
	
		
					Laugh Now Cry Later		
	
","
	
	Drake Featuring Lil Durk
"
9,"

	
	
		
					Bang!		
	
","
	
	AJR
"
10,"

	
	
		
					I Hope		
	
","
	
	Gabby Barrett Featuring Charlie Puth
"
11,"

	
	
		
					For The Night		
	
","
	
	Pop Smoke Featuring Lil Baby & DaBaby
"
12,"

	
	
		
					Lemonade		
	
","
	
	Internet Money & Gunna Featuring Don Toliver & NAV
"
13,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
14,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
15,"

	
	
		
					Kings & Queens		
	
","
	
	Ava Max
"
16,"

	
	
		
					Body		
	
","
	
	Megan Thee Stallion
"
17,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
18,"

	
	
		
					Lonely		
	
","
	
	Justin Bieber & benny blanco
"
19,"

	
	
		
					Better Together		
	
","
	
	Luke Combs
"
20,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
21,"

	
	
		
					Whoopty		
	
","
	
	CJ
"
22,"

	
	
		
					Willow		
	
","
	
	Taylor Swift
"
23,"

	
	
		
					Good Days		
	
","
	
	SZA
"
24,"

	
	
		
					Before You Go		
	
","
	
	Lewis Capaldi
"
25,"

	
	
		
					Dynamite		
	
","
	
	BTS
"
26,"

	
	
		
					Rockstar		
	
","
	
	DaBaby Featuring Roddy Ricch
"
27,"

	
	
		
					More Than My Hometown		
	
","
	
	Morgan Wallen
"
28,"

	
	
		
					I Should Probably Go To Bed		
	
","
	
	Dan + Shay
"
29,"

	
	
		
					Afterglow		
	
","
	
	Ed Sheeran
"
30,"

	
	
		
					Starting Over		
	
","
	
	Chris Stapleton
"
31,"

	
	
		
					Savage Love (Laxed - Siren Beat)		
	
","
	
	Jawsh 685 x Jason Derulo
"
32,"

	
	
		
					Happy Anywhere		
	
","
	
	Blake Shelton Featuring Gwen Stefani
"
33,"

	
	
		
					Champagne Night		
	
","
	
	Lady A
"
34,"

	
	
		
					Whats Poppin		
	
","
	
	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
"
35,"

	
	
		
					WAP		
	
","
	
	Cardi B Featuring Megan Thee Stallion
"
36,"

	
	
		
					Monster		
	
","
	
	Shawn Mendes & Justin Bieber
"
37,"

	
	
		
					Pretty Heart		
	
","
	
	Parker McCollum
"
38,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
39,"

	
	
		
					Diamonds		
	
","
	
	Sam Smith
"
40,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
41,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
42,"

	
	
		
					Watermelon Sugar		
	
","
	
	Harry Styles
"
43,"

	
	
		
					Hawai		
	
","
	
	Maluma & The Weeknd
"
44,"

	
	
		
					Cry Baby		
	
","
	
	Megan Thee Stallion Featuring DaBaby
"
45,"

	
	
		
					Hole In The Bottle		
	
","
	
	Kelsea Ballerini
"
46,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
47,"

	
	
		
					Holiday		
	
","
	
	Lil Nas X
"
48,"

	
	
		
					Good Time		
	
","
	
	Niko Moon
"
49,"

	
	
		
					Big, Big Plans		
	
","
	
	Chris Lane
"
50,"

	
	
		
					Love You Like I Used To		
	
","
	
	Russell Dickerson
"
51,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
52,"

	
	
		
					B.S.		
	
","
	
	Jhene Aiko Featuring H.E.R.
"
53,"

	
	
		
					7 Summers		
	
","
	
	Morgan Wallen
"
54,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
55,"

	
	
		
					Mr. Right Now		
	
","
	
	21 Savage & Metro Boomin Featuring Drake
"
56,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
57,"

	
	
		
					Take You Dancing		
	
","
	
	Jason Derulo
"
58,"

	
	
		
					Throat Baby (Go Baby)		
	
","
	
	BRS Kash
"
59,"

	
	
		
					Still Trappin'		
	
","
	
	Lil Durk & King Von
"
60,"

	
	
		
					Prisoner		
	
","
	
	Miley Cyrus Featuring Dua Lipa
"
61,"

	
	
		
					Tyler Herro		
	
","
	
	Jack Harlow
"
62,"

	
	
		
					Hit Different		
	
","
	
	SZA Featuring Ty Dolla $ign
"
63,"

	
	
		
					Back To The Streets		
	
","
	
	Saweetie Featuring Jhene Aiko
"
64,"

	
	
		
					Beers And Sunshine		
	
","
	
	Darius Rucker
"
65,"

	
	
		
					Golden		
	
","
	
	Harry Styles
"
66,"

	
	
		
					Damage		
	
","
	
	H.E.R.
"
67,"

	
	
		
					Put Your Records On		
	
","
	
	Ritt Momney
"
68,"

	
	
		
					What's Your Country Song		
	
","
	
	Thomas Rhett
"
69,"

	
	
		
					Happy Does		
	
","
	
	Kenny Chesney
"
70,"

	
	
		
					Monsters		
	
","
	
	All Time Low Featuring Demi Lovato & blackbear 
"
71,"

	
	
		
					Midnight Sky		
	
","
	
	Miley Cyrus
"
72,"

	
	
		
					Down To One		
	
","
	
	Luke Bryan
"
73,"

	
	
		
					Bichota		
	
","
	
	Karol G
"
74,"

	
	
		
					Backdoor		
	
","
	
	Lil Durk
"
75,"

	
	
		
					Just The Way		
	
","
	
	Parmalee x Blanco Brown
"
76,"

	
	
		
					Ain't Always The Cowboy		
	
","
	
	Jon Pardi
"
77,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
78,"

	
	
		
					Adderall (Corvette Corvette)		
	
","
	
	Popp Hunna
"
79,"

	
	
		
					Long Live		
	
","
	
	Florida Georgia Line
"
80,"

	
	
		
					So Done		
	
","
	
	The Kid LAROI
"
81,"

	
	
		
					Somebody's Problem		
	
","
	
	Morgan Wallen
"
82,"

	
	
		
					Moonwalking In Calabasas		
	
","
	
	DDG
"
83,"

	
	
		
					Way Out		
	
","
	
	Jack Harlow Featuring Big Sean
"
84,"

	
	
		
					Stay Down		
	
","
	
	Lil Durk, 6LACK & Young Thug
"
85,"

	
	
		
					Some Girls		
	
","
	
	Jameson Rodgers
"
86,"

	
	
		
					Took Her To The O		
	
","
	
	King Von
"
87,"

	
	
		
					Girl Like Me		
	
","
	
	Black Eyed Peas X Shakira
"
88,"

	
	
		
					Momma's House		
	
","
	
	Dustin Lynch
"
89,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
90,"

	
	
		
					Kacey Talk		
	
","
	
	YoungBoy Never Broke Again
"
91,"

	
	
		
					Wonder		
	
","
	
	Shawn Mendes
"
92,"

	
	
		
					La Noche de Anoche		
	
","
	
	Bad Bunny & Rosalia
"
93,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
94,"

	
	
		
					Hell Of A View		
	
","
	
	Eric Church
"
95,"

	
	
		
					Almost Maybes		
	
","
	
	Jordan Davis
"
96,"

	
	
		
					Everywhere But On		
	
","
	
	Matt Stell
"
97,"

	
	
		
					Lady		
	
","
	
	Brett Young
"
98,"

	
	
		
					Still Goin Down		
	
","
	
	Morgan Wallen
"
99,"

	
	
		
					Reminds Me Of You		
	
","
	
	The Kid LAROI & Juice WRLD
"
100,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
