Number,Song Name,Artist Name
1,All I Want For Christmas Is You,Mariah Carey
2,Rockin' Around The Christmas Tree,Brenda Lee
3,Easy On Me,Adele
4,Jingle Bell Rock,Bobby Helms
5,A Holly Jolly Christmas,Burl Ives
6,Stay,The Kid LAROI & Justin Bieber
7,It's The Most Wonderful Time Of The Year,Andy Williams
8,Heat Waves,Glass Animals
9,Last Christmas,Wham!
10,Industry Baby,Lil Nas X & Jack Harlow
11,Feliz Navidad,Jose Feliciano
12,Shivers,Ed Sheeran
13,Sleigh Ride,The Ronettes
14,Need To Know,Doja Cat
15,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole"
16,abcdefu,GAYLE
17,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
18,Underneath The Tree,Kelly Clarkson
19,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
20,Super Gremlin,Kodak Black
21,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
22,Happy Holiday / The Holiday Season,Andy Williams
23,Cold Heart (PNAU Remix),Elton John & Dua Lipa
24,Santa Tell Me,Ariana Grande
25,Christmas (Baby Please Come Home),Darlene Love
26,Bad Habits,Ed Sheeran
27,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
28,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
29,Girl Of My Dreams,Juice WRLD & SUGA
30,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
31,I Hate U,SZA
32,Run Rudolph Run,Chuck Berry
33,Good 4 U,Olivia Rodrigo
34,Burn,Juice WRLD
35,Fancy Like,Walker Hayes
36,It's Beginning To Look A Lot Like Christmas,Michael Buble
37,Ghost,Justin Bieber
38,One Right Now,Post Malone & The Weeknd
39,Essence,Wizkid Featuring Justin Bieber & Tems
40,You Right,Doja Cat & The Weeknd
41,Wonderful Christmastime,Paul McCartney
42,Kiss Me More,Doja Cat Featuring SZA
43,Happier Than Ever,Billie Eilish
44,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
45,Thats What I Want,Lil Nas X
46,Way 2 Sexy,Drake Featuring Future & Young Thug
47,Love Nwantiti (Ah Ah Ah),CKay
48,Knife Talk,Drake Featuring 21 Savage & Project Pat
49,Mistletoe,Justin Bieber
50,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
51,Oh My God,Adele
52,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
53,Better Days,NEIKED X Mae Muller X Polo G
54,Already Dead,Juice WRLD
55,Wandered To LA.,Juice WRLD & Justin Bieber
56,Feline,"Juice WRLD, Polo G & Trippie Redd"
57,Buy Dirt,Jordan Davis Featuring Luke Bryan
58,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
59,All Too Well (Taylor's Version),Taylor Swift
60,Girls Want Girls,Drake Featuring Lil Baby
61,You Should Probably Leave,Chris Stapleton
62,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
63,Rockstar In His Prime,Juice WRLD
64,You Wouldn't Understand,Juice WRLD
65,Whiskey And Rain,Michael Ray
66,Merry Christmas,Ed Sheeran & Elton John
67,Sand In My Boots,Morgan Wallen
68,Enemy,Imagine Dragons X JID
69,By Your Side,Rod Wave
70,Have Mercy,Chloe
71,Big Energy,Latto
72,Cold As You,Luke Combs
73,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
74,My Universe,Coldplay x BTS
75,Doom,Juice WRLD
76,Go Hard,Juice WRLD
77,One Mississippi,Kane Brown
78,Woman,Doja Cat
79,Pick Out A Christmas Tree,Dan + Shay
80,Not Enough,Juice WRLD
81,Christmas Tree Farm (Old Timey Version),Taylor Swift
82,Man In The Mirror,A Boogie Wit da Hoodie
83,I'll Be Home For Christmas,Camila Cabello
84,Knowing You,Kenny Chesney
85,To Be Loved By You,Parker McCollum
86,From My Window,Juice WRLD
87,Relocate,Juice WRLD
88,'Til You Can't,Cody Johnson
89,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
90,Tequila Little Time,Jon Pardi
91,For Tonight,Giveon
92,Same Boat,Zac Brown Band
93,Family Ties,Baby Keem & Kendrick Lamar
94,Scorpio,Moneybagg Yo
95,Freedom Was A Highway,Jimmie Allen & Brad Paisley
96,No Love,Summer Walker & SZA
97,Bad Man (Smooth Criminal),Polo G
98,Feel Alone,Juice WRLD
99,Heart On Fire,Eric Church
100,Bubbly,Young Thug With Drake & Travis Scott
