Number,Song Name,Artist Name
1,"

	
	
		
					Easy On Me		
	
","
	
	Adele
"
2,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
3,"

	
	
		
					Industry Baby		
	
","
	
	Lil Nas X & Jack Harlow
"
4,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
5,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
6,"

	
	
		
					Way 2 Sexy		
	
","
	
	Drake Featuring Future & Young Thug
"
7,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
8,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
9,"

	
	
		
					Shivers		
	
","
	
	Ed Sheeran
"
10,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
11,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
12,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
13,"

	
	
		
					My Universe		
	
","
	
	Coldplay x BTS
"
14,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
15,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
16,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
17,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
18,"

	
	
		
					Knife Talk		
	
","
	
	Drake Featuring 21 Savage & Project Pat
"
19,"

	
	
		
					Who Want Smoke??		
	
","
	
	Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage
"
20,"

	
	
		
					Bubbly		
	
","
	
	Young Thug With Drake & Travis Scott
"
21,"

	
	
		
					Cold Heart (PNAU Remix)		
	
","
	
	Elton John & Dua Lipa
"
22,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
23,"

	
	
		
					If I Didn't Love You		
	
","
	
	Jason Aldean & Carrie Underwood
"
24,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
25,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
26,"

	
	
		
					Girls Want Girls		
	
","
	
	Drake Featuring Lil Baby
"
27,"

	
	
		
					Take My Breath		
	
","
	
	The Weeknd
"
28,"

	
	
		
					Thats What I Want		
	
","
	
	Lil Nas X
"
29,"

	
	
		
					Pepas		
	
","
	
	Farruko
"
30,"

	
	
		
					Happier Than Ever		
	
","
	
	Billie Eilish
"
31,"

	
	
		
					Love Nwantiti (Ah Ah Ah)		
	
","
	
	CKay
"
32,"

	
	
		
					Meet Me At Our Spot		
	
","
	
	THE ANXIETY: WILLOW & Tyler Cole
"
33,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
