title; rank; date; artist; chart
Paralyzed;46;02/10/2021;Sueco;viral50
Sorry Bout That;47;02/10/2021;Yeat;viral50
FEEL NOTHING;48;02/10/2021;The Plot In You;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;49;02/10/2021;Andrew Gold;viral50
Strange;50;02/10/2021;Celeste;viral50
love nwantiti (ah ah ah);1;03/10/2021;CKay;viral50
The Red Means I Love You;2;03/10/2021;Madds Buckley;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;03/10/2021;CKay;viral50
Do It To It;4;03/10/2021;ACRAZE, Cherish;viral50
this is what falling in love feels like;5;03/10/2021;JVKE;viral50
Meet Me At Our Spot;6;03/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Two Moons;7;03/10/2021;BoyWithUke;viral50
In My Mind;8;03/10/2021;Lyn Lapid;viral50
Está Dañada;9;03/10/2021;Ivan Cornejo;viral50
Jugaste y Sufrí;10;03/10/2021;Eslabon Armado, DannyLux;viral50
Life Goes On;11;03/10/2021;Oliver Tree;viral50
Linda;12;03/10/2021;Tokischa, ROSALÍA;viral50
Cold Heart - PNAU Remix;13;03/10/2021;Elton John, Dua Lipa;viral50
STEREOTYPE;14;03/10/2021;STAYC;viral50
Lay It Down;15;03/10/2021;benu;viral50
HOT DEMON B!TCHES NEAR U ! ! !;16;03/10/2021;CORPSE, Night Lovell;viral50
ONLY;17;03/10/2021;LeeHi;viral50
Gët Busy;18;03/10/2021;Yeat;viral50
Pepas;19;03/10/2021;Farruko;viral50
Light My Love;20;03/10/2021;Greta Van Fleet;viral50
I GUESS I'M IN LOVE;21;03/10/2021;Clinton Kane;viral50
Feel Like God !*;22;03/10/2021;VVS;viral50
family ties (with Kendrick Lamar);23;03/10/2021;Baby Keem;viral50
In My Room;24;03/10/2021;Insane Clown Posse;viral50
Monster Mash;25;03/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
STREETSX VACATION BIBLE SCHOOL;26;03/10/2021;XXKATUSJINSUX;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;27;03/10/2021;CKay, ElGrandeToto;viral50
This Is Halloween;28;03/10/2021;Disney Characters;viral50
Way 2 Sexy (with Future & Young Thug);29;03/10/2021;Drake;viral50
edamame (feat. Rich Brian);30;03/10/2021;bbno$;viral50
Something About You;31;03/10/2021;Eyedress, Dent May;viral50
this is how i learn to say no;32;03/10/2021;EMELINE;viral50
Record Player (with AJR);33;03/10/2021;Daisy the Great;viral50
Life By The Sea;34;03/10/2021;Tubbo, CG5;viral50
Knife Talk (with 21 Savage ft. Project Pat);35;03/10/2021;Drake;viral50
Chop Chop Slide;36;03/10/2021;Insane Clown Posse;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);37;03/10/2021;Meek Mill;viral50
Somebody's Watching Me;38;03/10/2021;Rockwell;viral50
Drunk And Nasty (feat. Sharc);39;03/10/2021;Pi’erre Bourne;viral50
Shit Show;40;03/10/2021;Peter McPoland;viral50
Close Eyes;41;03/10/2021;DVRST;viral50
Fancy Like;42;03/10/2021;Walker Hayes;viral50
Cry Baby;43;03/10/2021;Official HIGE DANdism;viral50
Je te laisserai des mots;44;03/10/2021;Patrick Watson;viral50
From Tha Back;45;03/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
Loverboy;46;03/10/2021;A-Wall;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;47;03/10/2021;Andrew Gold;viral50
Sorry Bout That;48;03/10/2021;Yeat;viral50
Paralyzed;49;03/10/2021;Sueco;viral50
FEEL NOTHING;50;03/10/2021;The Plot In You;viral50
The Red Means I Love You;1;04/10/2021;Madds Buckley;viral50
love nwantiti (ah ah ah);2;04/10/2021;CKay;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;04/10/2021;CKay;viral50
this is what falling in love feels like;4;04/10/2021;JVKE;viral50
Está Dañada;5;04/10/2021;Ivan Cornejo;viral50
Do It To It;6;04/10/2021;ACRAZE, Cherish;viral50
MONEY;7;04/10/2021;LISA;viral50
Have Mercy;8;04/10/2021;Chlöe;viral50
Two Moons;9;04/10/2021;BoyWithUke;viral50
In My Mind;10;04/10/2021;Lyn Lapid;viral50
Meet Me At Our Spot;11;04/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Silk Chiffon (feat. Phoebe Bridgers);12;04/10/2021;MUNA;viral50
Life Goes On;13;04/10/2021;Oliver Tree;viral50
Bad Day;14;04/10/2021;Justus Bennetts;viral50
Jugaste y Sufrí;15;04/10/2021;Eslabon Armado, DannyLux;viral50
